#,Date,Year,Institution,Country,Category,Weight,Strength,Event,Primary Source
1,1946-06,1946,Swedish Defence Staff,Sweden,international,1.0,medium,Swedish Defence Staff Ghost Rocket investigation - official committee established,National Archives memo Dec 3 1946; Swedish Defence Staff documents
2,1946-08,1946,US Army Air Forces Intelligence,USA,military,0.8,medium,US Army Air Forces Ghost Rocket investigation - Gen. Vandenberg directive,National Archives; CIA declassified documents; Vandenberg memo Aug 1946
3,1947-07,1947,USAF,USA,military,1.0,medium,"Roswell - USAF issues and retracts ""flying disc"" statement",DoD/USAF official records
4,1947-12,1947,USAF,USA,military,1.0,medium,Project Sign established - first official USAF UAP investigation,USAF official records
5,1949-02,1949,USAF,USA,military,0.8,low,Project Grudge established - pivot to public containment,USAF official records; National Archives
6,1949-07,1949,USAF,USA,military,0.8,low,Project Twinkle - USAF investigation of green fireballs near nuclear facilities,USAF declassified Project Twinkle final report Nov 1951
7,1950-10,1950,UK Ministry of Defence,UK,international,0.8,medium,UK Flying Saucer Working Party - MoD first official UFO study,UK National Archives DEFE 44/119; Oct 1950
8,1950-12,1950,Transport Canada,Canada,international,0.8,medium,Project Magnet - Transport Canada official UAP study program,Canadian Archives BAC-LAC; approved Dec 2 1950
9,1952-03,1952,USAF,USA,military,1.0,medium,Project Blue Book established - USAF official investigation,USAF / National Archives; Britannica
10,1952-04,1952,Canadian Government,Canada,international,0.8,low,Project Second Storey - Canadian inter-agency UAP committee,University of Toronto UTIAS; Apr 1952
11,1952-07,1952,USAF / National Airport / Andrews AFB,USA,military,1.0,medium,"Washington DC UAP flyover - radar confirmed, jets scrambled",National Archives Identifier 595553
12,1953-01,1953,CIA,USA,government,1.0,medium,CIA Robertson Panel - systematic public debunking recommended,CIA declassified report (FOIA); declassified 1966
13,1966-10,1966,University of Colorado / USAF,USA,government,1.0,medium,Condon Committee commissioned - Air Force-funded UAP study,Condon Report (1968); CU Boulder archives; AARO Historical Report Vol.1
14,1969-12,1969,USAF,USA,military,1.0,medium,"Project Blue Book terminated - 12,618 cases archived, 701 unexplained",USAF termination order Dec 17 1969; Condon Report 1968
15,1977-01,1977,CNES / GEIPAN,France,international,1.0,medium,France creates GEPAN/GEIPAN - world\,CNES official records; GEIPAN official site
16,1977-10,1977,Brazilian Air Force,Brazil,international,0.8,low,Operação Prato - Brazilian Air Force official UAP investigation,Brazilian National Archives; Oct 1977
17,1978-01,1978,Soviet Academy of Sciences / Ministry of Defence,USSR,international,1.0,medium,Institute 22 - Soviet Academy of Sciences + MoD UAP program,Wikipedia; Skeptical Inquirer; Moscow Times
18,1979-01,1979,Uruguay Air Force,Uruguay,international,0.7,low,CRIDOVNI - Uruguay Air Force official UAP commission,Established by presidential decree 1979
19,1997-01,1997,DGAC Chile,Chile,international,0.8,medium,Chile creates CEFAA - official UAP investigation under Civil Aviation Authority,CEFAA official records; dgac.gob.cl
20,1997-01,1997,UK Defence Intelligence Staff,UK,international,0.8,medium,Project Condign - UK Defence Intelligence Staff secret UAP study,UK National Archives (released 2006 via FOIA)
21,2004-11,2004,US Navy / USS Nimitz,USA,military,0.8,medium,"USS Nimitz Tic-Tac encounter - FLIR video recorded, officially confirmed 2020",DoD / NAVAIR FOIA; officially confirmed Apr 2020
22,2007-01,2007,Defense Intelligence Agency,USA,government,1.0,medium,AATIP established - $22M DIA-funded secret Pentagon UAP program,DoD / Senate records; Harry Reid statements; FOIA
23,2009-11,2009,UK Ministry of Defence,UK,international,0.8,low,UK MoD closes UFO desk and public hotline,UK National Archives press release; Dr. David Clarke
24,2011-01,2011,Argentine Air Force,Argentina,international,0.8,low,Argentina creates CEFAe - Air Force UAP investigation office,Argentine Air Force official records
25,2017-12,2017,New York Times / Pentagon,USA,media,0.8,high,NYT reveals AATIP - $22M secret Pentagon UAP program,"NYT Dec 16 2017 (Cooper, Blumenthal, Kean)"
26,2019-09,2019,US Navy,USA,military,0.8,high,US Navy officially acknowledges UAP video authenticity,CNN Sep 18 2019; UPI Sep 19 2019
27,2019-09,2019,University of Albany / Entropy,USA,scientific,0.8,medium,Peer-reviewed: UAP flight characteristics exceed known physics,Entropy 2019 21(10) 939; DOI 10.3390/e21100939
28,2020-04,2020,U.S. Department of Defense,USA,government,1.0,high,Pentagon officially releases and confirms three Navy UAP videos,DoD official statement Apr 27 2020
29,2020-04,2020,Japan Ministry of Defence,Japan,international,0.8,medium,Japan MoD issues formal UAP documentation directives,Japan MoD official directive Apr 2020
30,2020-08,2020,U.S. Department of Defense,USA,military,1.0,high,UAP Task Force established - first publicly acknowledged DoD UAP unit,DoD press release Aug 4 2020
31,2021-05,2021,Barack Obama,USA,government,0.5,medium,Obama publicly acknowledges unidentified aerial objects,CBS Late Late Show May 2021
32,2021-06,2021,Office of the Director of National Intelligence,USA,government,1.0,high,"ODNI Preliminary Assessment - 144 UAP cases, 143 unexplained",ODNI report Jun 25 2021
33,2021-07,2021,Harvard University,USA,scientific,0.5,medium,Galileo Project - Harvard systematic UAP observation program,Harvard Crimson Aug 2021; Space.com Jul 26 2021
34,2021-09,2021,NASA,USA,scientific,1.0,high,NASA establishes formal independent UAP study team,NASA official announcement Sep 2021
35,2022-05,2022,U.S. House Intelligence Subcommittee,USA,legislative,1.0,high,First public UAP congressional hearing in 50+ years,Congress.gov; C-SPAN May 17 2022
36,2022-07,2022,U.S. Department of Defense,USA,government,1.0,high,AARO established - first permanent Pentagon UAP office,DoD / NDAA FY2022; DoD press release Jul 15 2022
37,2023-04,2023,U.S. Senate Armed Services Committee,USA,legislative,1.0,high,Senate Armed Services - AARO Director Kirkpatrick testifies,Senate Armed Services Committee Apr 19 2023
38,2023-07,2023,U.S. House Oversight Committee,USA,legislative,1.0,critical,"Grusch, Graves, Fravor sworn testimony - crash retrieval programs",Congress.gov; C-SPAN Jul 26 2023
39,2023-08,2023,Sol Foundation / Stanford University,USA,scientific,0.5,low,Sol Foundation established at Stanford - private UAP research foundation,Sol Foundation press release Aug 15 2023
40,2023-08,2023,U.S. House of Representatives,USA,legislative,0.8,medium,US House UAP Caucus launched - bipartisan + ICIG letter,Rep. Tim Burchett official House press release Aug 22 2023
41,2023-09,2023,NASA,USA,scientific,1.0,high,NASA UAP Independent Study Report published,NASA official report Sep 14 2023
42,2023-11,2023,Sol Foundation / Stanford University,USA,scientific,0.5,low,"Sol Foundation inaugural symposium - Nell, Grusch, Gallaudet at Stanford",Sol Foundation / Stanford Nov 17-18 2023
43,2023-12,2023,U.S. Senate / White House,USA,legislative,1.0,high,Bipartisan UAP Disclosure Act - partial version signed into NDAA FY2024,Senate records; NDAA FY2024; White House
44,2024-03,2024,AARO / DoD,USA,government,1.0,high,AARO Historical Record Report Vol.1 published,DoD/AARO; cleared for open publication Mar 6 2024
45,2024-06,2024,Japanese Diet,Japan,international,0.8,medium,Japan: 80+ Diet members form bipartisan UAP caucus,Japan Diet official records Jun 2024
46,2024-11,2024,U.S. House Oversight Committee,USA,legislative,1.0,high,"House Oversight ""Exposing the Truth"" - Elizondo, Gallaudet, Shellenberger testify",Congress.gov; C-SPAN Nov 13 2024
47,2024-11,2024,U.S. Senate Armed Services Committee,USA,legislative,1.0,high,Senate Armed Services - AARO Director Kosloski testifies,Senate Armed Services Committee Nov 2024
48,2024-12,2024,White House,USA,legislative,1.0,high,Partial UAP disclosure legislation signed into NDAA FY2025,NDAA FY2025 / White House
49,2024-12,2024,AARO / DoD / NSA / CIA / FBI / NASA,USA,government,1.0,critical,"AARO FY2024 Annual Report - 1,652 cases, 21 anomalous, co-signed by 20+ agencies",AARO / DoD FY2024 Annual Report
50,2025-01,2025,Deloitte AG,International,financial,0.8,high,Deloitte classifies NHI disclosure as credible Black Swan,Deloitte AG GPMESII 2026 report
51,2025-06,2025,Progress in Aerospace Sciences,International,scientific,0.8,medium,"Knuth et al. - ""The New Science of UAP"" peer-reviewed","Progress in Aerospace Sciences Vol.156, DOI 10.1016/j.paerosci.2025.101097"
52,2025-09,2025,U.S. House Oversight Task Force,USA,legislative,1.0,high,House Oversight Task Force - MQ-9 Yemen footage presented on record,Congress.gov; C-SPAN Sep 9 2025
53,2025-10,2025,VASCO / Scientific Reports / PASP,International,scientific,0.8,medium,Villarroel/VASCO - two peer-reviewed papers on anomalous stellar events,Scientific Reports Oct 2025; PASP Oct 2025
54,2025-11,2025,Amazon Prime Video / Farah Films,USA,media,0.5,critical,"""The Age of Disclosure"" - 34 senior officials on record",Amazon Prime Nov 2025
